tree_no,row,low,high,target,experimentor
86,2,101,37,mech,JK
87,2,67,24,mech,JK
88,2,69,119,mech,JK
89,2,50,31,mech,JK
90,2,64,51,mech,JK
91,2,20,36,75,MJ
92,2,67,69,75,MJ
93,2,22,19,75,MJ
94,2,46,40,75,MJ
95,2,37,36,75,MJ
96,2,32,28,100,MJ
97,2,40,55,100,MJ
98,2,43,55,100,MJ
99,2,25,34,100,MJ
100,2,46,35,100,MJ
101,2,61,74,125,HD
102,2,18,17,125,MJ
103,2,44,88,125,KS
104,2,53,61,125,JK
105,2,64,91,125,JK
106,2,14,12,75,HD
107,2,75,80,75,MJ
108,2,37,45,75,LC
109,2,29,61,75,LC
110,2,30,51,75,LC
111,2,86,57,100,KS
112,2,51,67,100,KS
113,2,53,32,100,KS
114,2,51,39,100,KS
115,2,36,90,100,KS
116,2,71,97,125,JK
117,2,67,73,125,JK
118,2,77,86,125,JK
119,2,76,81,125,JK
120,2,65,91,125,JK
121,2,44,49,mech,KS
122,2,44,111,mech,KS
123,2,74,70,mech,KS
124,2,74,60,mech,KS
125,2,21,121,mech,KS
190,3,70,61,mech,HD
191,3,46,53,mech,HD
192,3,20,31,mech,HD
193,3,77,63,mech,HD
194,3,78,74,mech,HD
195,3,48,44,75,KS
196,3,62,53,75,KS
197,3,40,58,75,KS
198,3,42,37,75,KS
199,3,84,74,75,HD
200,3,57,55,125,HD
201,3,44,55,125,HD
202,3,55,24,125,HD
203,3,40,18,125,HD
204,3,112,83,125,HD
205,3,77,33,100,HD
206,3,52,65,100,HD
207,3,43,35,100,HD
208,3,33,31,100,HD
209,3,101,76,100,HD
210,3,28,15,75,LC
211,3,95,96,75,LC
212,3,31,24,75,LC
213,3,27,29,75,LC
214,3,78,75,75,LC
215,3,30,57,125,LC
216,3,30,41,125,LC
217,3,21,108,125,LC
218,3,32,66,125,LC
219,3,46,80,125,LC
220,3,30,40,100,ES
221,3,18,17,100,ES
222,3,104,90,100,ES
223,3,45,78,100,ES
224,3,37,79,100,ES
225,3,84,30,mech,JK
226,3,60,43,mech,JK
227,3,92,53,mech,JK
228,3,61,27,mech,JK
229,3,20,8,mech,JK
326,5,67,117,chem,ES
327,5,72,39,chem,ES
328,5,63,43,chem,ES
329,5,49,52,chem,ES
330,5,113,116,chem,ES
361,5,88,101,chem,JK
362,5,84,74,chem,JK
363,5,175,64,chem,JK
364,5,88,35,chem,JK
365,5,82,26,chem,JK
374,6,134,81,chem,JK
375,6,33,35,chem,JK
376,6,117,179,chem,JK
377,6,118,81,chem,JK
378,6,68,32,chem,JK
409,6,98,55,chem,HD
410,6,68,63,chem,HD
411,6,59,98,chem,HD
412,6,104,119,chem,HD
413,6,114,84,chem,HD